step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
5166,2023-07-03 13:30:36.537701141,1,193.67,8.0,-0.06260170464465385,0.03591850464463453,0.010000000000019327,0.0166832
5167,2023-07-03 13:30:37.306938151,1,193.66,10.0,-0.20613192322316354,0.17959252322317262,0.009999999999990905,0.0165394
5168,2023-07-03 13:30:37.316184220,1,193.65,8.0,-0.06185531820428339,0.025398218204301576,0.01999999999998181,0.0164571
5169,2023-07-03 13:30:37.375484616,1,193.66,10.0,-0.062389304644625436,0.03591850464463453,0.009999999999990905,0.0164708
5170,2023-07-03 13:30:37.584218236,1,193.66,9.0,-0.062072318204311805,0.025398218204301576,0.020000000000010232,0.0166741
5171,2023-07-03 13:30:37.584218236,1,193.66,5.0,-0.21626662322318285,0.17959252322317262,0.020000000000010232,0.0166741
5172,2023-07-03 13:30:37.584218236,1,193.66,8.0,-0.21626662322318285,0.17959252322317262,0.020000000000010232,0.0166741
5173,2023-07-03 13:30:38.462973979,1,193.68,2.0,-0.27126558204301576,0.25398218204301576,0.0,0.0172834
5174,2023-07-03 13:30:38.462973979,1,193.68,6.0,-0.09759961803554472,0.08031621803554471,0.0,0.0172834
5175,2023-07-03 13:30:38.462973979,1,193.68,7.0,-0.16095741857853813,0.14367401857853812,0.0,0.0172834
5176,2023-07-03 13:30:38.462973979,2,193.68,5.0,-0.04268161820430158,0.025398218204301576,0.0,0.0172834
5177,2023-07-03 13:30:38.753473179,1,193.68,3.0,-0.06247630464462543,0.03591850464463453,0.009999999999990905,0.0165578
5178,2023-07-03 13:30:38.753473179,1,193.68,5.0,-0.20615032322316354,0.17959252322317262,0.009999999999990905,0.0165578
5179,2023-07-03 13:30:39.140577798,1,193.67,3.0,-0.21612962322318285,0.17959252322317262,0.020000000000010232,0.0165371
5180,2023-07-03 13:30:39.140595363,1,193.67,5.0,-0.21603252322318284,0.17959252322317262,0.020000000000010232,0.01644
5181,2023-07-03 13:30:39.140609359,1,193.66,7.0,-0.21632592322318284,0.17959252322317262,0.020000000000010232,0.0167334
5182,2023-07-03 13:30:39.140609359,1,193.66,4.0,-0.08752983640861338,0.05079643640860315,0.020000000000010232,0.0167334
5183,2023-07-03 13:30:39.140609359,1,193.66,8.0,-0.21632592322318284,0.17959252322317262,0.020000000000010232,0.0167334
5184,2023-07-03 13:30:39.480250884,1,193.69,9.0,-0.1962210232231726,0.17959252322317262,0.0,0.0166285
5185,2023-07-03 13:30:39.480250884,2,193.69,4.0,-0.7785750461290474,0.7619465461290473,0.0,0.0166285
5186,2023-07-03 13:30:39.480286052,1,193.69,10.0,-0.1511001499528023,0.12442534995281139,0.009999999999990905,0.0166748
5187,2023-07-03 13:30:39.480341339,2,193.69,3.0,-0.27057358204301574,0.25398218204301576,0.0,0.0165914
5188,2023-07-03 13:30:39.480341339,1,193.68,9.0,-0.07058240435156202,0.04399100435157111,0.009999999999990905,0.0165914
5189,2023-07-03 13:30:39.641599022,1,193.68,5.0,-0.11810837804102317,0.09157457804103226,0.009999999999990905,0.0165338
5190,2023-07-03 13:30:39.641599022,1,193.68,9.0,-0.20612632322316354,0.17959252322317262,0.009999999999990905,0.0165338
5191,2023-07-03 13:30:40.261383531,1,193.69,6.0,-0.32751197488202843,0.31106337488202845,0.0,0.0164486
5192,2023-07-03 13:30:40.261540382,1,193.69,6.0,-0.7121548515467164,0.6955588515467165,0.0,0.016596
5193,2023-07-03 13:30:40.261540382,1,193.69,7.0,-0.18119526638366065,0.16459926638366065,0.0,0.016596
5194,2023-07-03 13:30:40.261567117,2,193.69,4.0,-0.21011836713718307,0.19342706713718308,0.0,0.0166913
5195,2023-07-03 13:30:40.261567117,1,193.69,9.0,-0.27030245100031985,0.24361115100032896,0.009999999999990905,0.0166913
5196,2023-07-03 13:30:40.261597738,2,193.69,7.0,-0.2840089329399227,0.2675868329399227,0.0,0.0164221
5197,2023-07-03 13:30:40.471727022,1,193.69,7.0,-0.09672561803554472,0.08031621803554471,0.0,0.0164094
5198,2023-07-03 13:30:40.471778522,1,193.68,6.0,-0.20605912322316353,0.17959252322317262,0.009999999999990905,0.0164666
5199,2023-07-03 13:30:40.551898487,1,193.69,2.0,-0.27042398204301576,0.25398218204301576,0.0,0.0164418
5200,2023-07-03 13:30:40.551932385,1,193.69,10.0,-0.13554900293689043,0.11912820293689044,0.0,0.0164208
5201,2023-07-03 13:30:40.575725192,1,193.69,5.0,-0.1733778319490582,0.15656513194905822,0.0,0.0168127
5202,2023-07-03 13:30:40.578184027,2,193.69,6.0,-0.1869234272365729,0.1703764272365729,0.0,0.016547
5203,2023-07-03 13:30:40.584245907,1,193.69,5.0,-0.32751387488202843,0.31106337488202845,0.0,0.0164505
5204,2023-07-03 13:30:40.584311856,1,193.69,4.0,-0.28058702610942665,0.26394602610942663,0.0,0.016641
5205,2023-07-03 13:30:40.612825051,1,193.7,6.0,-0.06725493640860315,0.05079643640860315,0.0,0.0164585
5206,2023-07-03 13:30:40.962161849,1,193.71,3.0,-0.27060138204301576,0.25398218204301576,0.0,0.0166192
5207,2023-07-03 13:30:40.962161849,1,193.71,2.0,-0.18121846638366065,0.16459926638366065,0.0,0.0166192
5208,2023-07-03 13:30:40.963254062,1,193.71,8.0,-0.2100708671371831,0.19342706713718308,0.0,0.0166438
5209,2023-07-03 13:30:40.963254062,1,193.71,4.0,-0.28062598204300665,0.25398218204301576,0.009999999999990905,0.0166438
5210,2023-07-03 13:30:41.078228762,1,193.7,4.0,-0.07237230464464477,0.03591850464463453,0.020000000000010232,0.0164538
5211,2023-07-03 13:30:41.079005157,1,193.7,5.0,-0.21604162322318285,0.17959252322317262,0.020000000000010232,0.0164491
5212,2023-07-03 13:30:41.120072624,1,193.72,6.0,-0.27052728204301574,0.25398218204301576,0.0,0.0165451
5213,2023-07-03 13:30:41.252935968,1,193.74,6.0,-0.09694931803554471,0.08031621803554471,0.0,0.0166331
5214,2023-07-03 13:30:41.252935968,1,193.74,7.0,-0.15102783822547092,0.1343947382254709,0.0,0.0166331
5215,2023-07-03 13:30:41.642074672,1,193.74,5.0,-0.1960886232231726,0.17959252322317262,0.0,0.0164961
5216,2023-07-03 13:30:41.651324351,1,193.75,8.0,-0.27050028204301574,0.25398218204301576,0.0,0.0165181
5217,2023-07-03 13:30:41.794449444,1,193.76,2.0,-0.18100346638366066,0.16459926638366065,0.0,0.0164042
5218,2023-07-03 13:30:42.027990382,1,193.75,8.0,-0.18103956638366064,0.16459926638366065,0.0,0.0164403
5219,2023-07-03 13:30:42.076371881,1,193.74,8.0,-0.08247620464463568,0.03591850464463453,0.030000000000001137,0.0165577
5220,2023-07-03 13:30:42.076371881,1,193.74,8.0,-0.08247620464463568,0.03591850464463453,0.030000000000001137,0.0165577
5221,2023-07-03 13:30:42.359846159,1,193.77,3.0,-0.3004394120609548,0.2839607120609548,0.0,0.0164787
5222,2023-07-03 13:30:42.582849191,1,193.75,6.0,-0.07240230464464475,0.03591850464463453,0.020000000000010232,0.0164838
5223,2023-07-03 13:30:42.584543221,1,193.74,5.0,-0.12439050870312404,0.08798200870314223,0.01999999999998181,0.0164085
5224,2023-07-03 13:30:42.665337770,1,193.76,9.0,-0.1666831852452212,0.15025788524522118,0.0,0.0164253
5225,2023-07-03 13:30:42.665360591,1,193.76,8.0,-0.22121098151060764,0.20476698151060765,0.0,0.016444
5226,2023-07-03 13:30:42.923273258,2,193.77,9.0,-0.17100443002946378,0.15449133002946377,0.0,0.0165131
5227,2023-07-03 13:30:42.924636772,1,193.77,3.0,-0.17298943194905822,0.15656513194905822,0.0,0.0164243
5228,2023-07-03 13:30:42.924995304,1,193.77,6.0,-0.7787561461290473,0.7619465461290473,0.0,0.0168096
5229,2023-07-03 13:30:42.961077131,2,193.77,3.0,-0.19610002322317263,0.17959252322317262,0.0,0.0165075
5230,2023-07-03 13:30:42.961804775,1,193.77,3.0,-0.19602852322317263,0.17959252322317262,0.0,0.016436
5231,2023-07-03 13:30:43.057325792,1,193.76,9.0,-0.2378522329970913,0.2214165329970913,0.0,0.0164357
5232,2023-07-03 13:30:43.060416796,1,193.76,8.0,-0.1423880499528114,0.12442534995281139,0.0,0.0179627
5233,2023-07-03 13:30:43.425954898,1,193.76,7.0,-0.0517946182043209,0.025398218204301576,0.010000000000019327,0.0163964
5234,2023-07-03 13:30:43.467529961,1,193.77,4.0,-0.7348042928926904,0.7183700928926905,0.0,0.0164342
5235,2023-07-03 13:30:43.467591191,1,193.77,4.0,-0.3396852418017108,0.32326654180171077,0.0,0.0164187
5236,2023-07-03 13:30:43.467683729,1,193.77,6.0,-0.4360754356066712,0.4196474356066712,0.0,0.016428
